,file,reference_row,dl_width,dl_height_abs,dl_midpoint_height
0,Basler_acA2500-14um__23891378__20220725_123529112_0011.tif,686,1034,583,582
1,Basler_acA2500-14um__23891378__20220725_123529112_0014.tiff,686,1033,580,580
2,Basler_acA2500-14um__23891378__20220725_123529112_0019.tiff,686,1031,573,573
3,Basler_acA2500-14um__23891378__20220725_123529112_0024.tiff,686,1027,566,566
4,Basler_acA2500-14um__23891378__20220725_123529112_0029.tiff,686,1024,558,558
5,Basler_acA2500-14um__23891378__20220725_123529112_0034.tiff,686,1021,551,551
6,Basler_acA2500-14um__23891378__20220725_123529112_0039.tiff,686,1018,544,544
7,Basler_acA2500-14um__23891378__20220725_123529112_0044.tiff,686,1017,538,538
8,Basler_acA2500-14um__23891378__20220725_123529112_0049.tiff,686,1016,532,532
9,Basler_acA2500-14um__23891378__20220725_123529112_0054.tiff,686,1015,527,527
10,Basler_acA2500-14um__23891378__20220725_123529112_0059.tiff,686,1013,522,521
11,Basler_acA2500-14um__23891378__20220725_123529112_0064.tiff,686,1011,517,517
12,Basler_acA2500-14um__23891378__20220725_123529112_0069.tiff,686,1009,514,514
13,Basler_acA2500-14um__23891378__20220725_123529112_0074.tiff,686,1007,510,510
14,Basler_acA2500-14um__23891378__20220725_123529112_0079.tiff,686,1006,507,506
15,Basler_acA2500-14um__23891378__20220725_123529112_0084.tiff,686,1005,503,503
16,Basler_acA2500-14um__23891378__20220725_123529112_0089.tiff,686,1002,500,500
17,Basler_acA2500-14um__23891378__20220725_123529112_0094.tiff,686,1001,498,498
18,Basler_acA2500-14um__23891378__20220725_123529112_0099.tiff,686,1002,494,494
19,Basler_acA2500-14um__23891378__20220725_123529112_0104.tiff,686,1000,492,491
20,Basler_acA2500-14um__23891378__20220725_123529112_0109.tiff,686,999,488,488
21,Basler_acA2500-14um__23891378__20220725_123529112_0114.tiff,686,998,482,482
22,Basler_acA2500-14um__23891378__20220725_123529112_0119.tiff,686,998,479,479
23,Basler_acA2500-14um__23891378__20220725_123529112_0124.tiff,686,998,473,473
24,Basler_acA2500-14um__23891378__20220725_123529112_0129.tiff,686,997,467,467
25,Basler_acA2500-14um__23891378__20220725_123529112_0134.tiff,686,996,459,458
26,Basler_acA2500-14um__23891378__20220725_123529112_0139.tiff,686,996,449,449
27,Basler_acA2500-14um__23891378__20220725_123529112_0144.tiff,686,996,437,437
28,Basler_acA2500-14um__23891378__20220725_123529112_0149.tiff,686,994,422,422
29,Basler_acA2500-14um__23891378__20220725_123529112_0154.tiff,686,994,405,405
30,Basler_acA2500-14um__23891378__20220725_123529112_0159.tiff,686,994,389,389
31,Basler_acA2500-14um__23891378__20220725_123529112_0164.tiff,686,993,375,374
32,Basler_acA2500-14um__23891378__20220725_123529112_0169.tiff,686,991,368,366
33,Basler_acA2500-14um__23891378__20220725_123529112_0174.tiff,686,991,362,359
34,Basler_acA2500-14um__23891378__20220725_123529112_0179.tiff,686,990,357,353
35,Basler_acA2500-14um__23891378__20220725_123529112_0184.tiff,686,990,352,347
36,Basler_acA2500-14um__23891378__20220725_123529112_0189.tiff,686,990,346,342
37,Basler_acA2500-14um__23891378__20220725_123529112_0194.tiff,686,991,341,338
38,Basler_acA2500-14um__23891378__20220725_123529112_0199.tiff,686,988,336,333
39,Basler_acA2500-14um__23891378__20220725_123529112_0204.tiff,686,988,331,329
40,Basler_acA2500-14um__23891378__20220725_123529112_0209.tiff,686,987,325,324
41,Basler_acA2500-14um__23891378__20220725_123529112_0214.tiff,686,986,320,320
42,Basler_acA2500-14um__23891378__20220725_123529112_0219.tiff,686,986,316,315
43,Basler_acA2500-14um__23891378__20220725_123529112_0224.tiff,686,985,311,310
44,Basler_acA2500-14um__23891378__20220725_123529112_0229.tiff,686,987,306,305
45,Basler_acA2500-14um__23891378__20220725_123529112_0234.tiff,686,985,301,300
46,Basler_acA2500-14um__23891378__20220725_123529112_0239.tiff,686,983,295,294
47,Basler_acA2500-14um__23891378__20220725_123529112_0244.tiff,686,983,289,288
48,Basler_acA2500-14um__23891378__20220725_123529112_0249.tiff,686,982,283,283
49,Basler_acA2500-14um__23891378__20220725_123529112_0254.tiff,686,981,278,277
50,Basler_acA2500-14um__23891378__20220725_123529112_0259.tiff,686,981,272,271
51,Basler_acA2500-14um__23891378__20220725_123529112_0264.tiff,686,982,266,265
52,Basler_acA2500-14um__23891378__20220725_123529112_0269.tiff,686,982,260,259
53,Basler_acA2500-14um__23891378__20220725_123529112_0274.tiff,686,979,254,254
54,Basler_acA2500-14um__23891378__20220725_123529112_0279.tiff,686,980,249,248
55,Basler_acA2500-14um__23891378__20220725_123529112_0284.tiff,686,979,246,243
56,Basler_acA2500-14um__23891378__20220725_123529112_0289.tiff,686,979,243,237
57,Basler_acA2500-14um__23891378__20220725_123529112_0294.tiff,686,980,241,232
58,Basler_acA2500-14um__23891378__20220725_123529112_0299.tiff,686,977,238,227
59,Basler_acA2500-14um__23891378__20220725_123529112_0304.tiff,686,979,236,221
60,Basler_acA2500-14um__23891378__20220725_123529112_0309.tiff,686,977,233,216
